"","Names","scores"
"1","o__Enterobacterales",-2.20807316821084
"2","p__Deinococcota",-2.20513451341711
"3","o__Thermales",-2.20136564629761
"4","g__Thermus",-2.18632179234886
"5","f__Thermaceae",-2.17615475984901
"6","c__Deinococci",-2.17208233890883
"7","p__Actinobacteriota",-1.59941445350327
"8","c__Actinobacteria",-1.56882116402124
"9","p__Bacteroidota",-1.51317905788771
"10","c__Bacteroidia",-1.51317905788771
"11","o__Flavobacteriales",-1.22065977539479
"12","o__Sphingobacteriales",-1.19965314684926
"13","f__Sphingobacteriaceae",-1.19877199280678
"14","p__Verrucomicrobiota",-1.1654702117224
"15","f__Flavobacteriaceae",-1.05106220692184
"16","g__Flavobacterium",-0.949149613946218
"17","p__Patescibacteria",-0.925592914559377
"18","f__Lactobacillaceae",-0.811264651954091
"19","f__Weeksellaceae",-0.807646759013858
"20","g__Lactobacillus",-0.761405950165075
"21","p__Bdellovibrionota",-0.743824452955077
"22","c__Bdellovibrionia",-0.594568665703737
"23","f__Candidatus_Kaiserbacteria",-0.593597516113145
"24","o__Candidatus_Kaiserbacteria",-0.571319929038466
"25","g__Candidatus_Kaiserbacteria",-0.570830761344807
"26","c__Parcubacteria",-0.562583242362495
"27","g__Bacillus",-0.535554547264739
"28","f__Alcaligenaceae",-0.521224485283525
"29","c__ABY1",-0.465916204000568
"30","o__Bdellovibrionales",-0.463287016171431
"31","f__Bdellovibrionaceae",-0.460987852236125
"32","g__Bdellovibrio",-0.4361301699466
"33","c__Gracilibacteria",-0.392615797840955
"34","f__Erysipelotrichaceae",-0.345580532554373
"35","g__Saccharimonadales",-0.256721211205422
"36","c__Oligoflexia",-0.23067510125724
"37","f__Saccharimonadales",-0.134579658927562
"38","f__0319.6G20",-0.122539326065292
"39","o__0319.6G20",-0.109197025789991
"40","g__Oligoflexus",-0.08718033465663
"41","g__0319.6G20",-0.0696681105841938
"42","f__Oligoflexales",-0.0664575158338265
"43","g__uncultured",-0.0333526576083357
"44","o__Oligoflexales",0.00247334008693755
"45","o__Saccharimonadales",0.223942704499625
"46","g__Limnohabitans",0.236883935694914
"47","c__Saccharimonadia",0.313478583560839
"48","p__Firmicutes",0.830625308877201
"49","f__Moraxellaceae",1.62099276889112
"50","g__Acinetobacter",1.84911097291271
"51","o__Pseudomonadales",2.13705449344076
