"","Names","scores"
"1","g__Thermus",-2.19858381520284
"2","g__Flavobacterium",-0.863002263485132
"3","g__Lactobacillus",-0.740724062393065
"4","g__Candidatus_Kaiserbacteria",-0.557257759963484
"5","g__Bacillus",-0.543236979357409
"6","g__Bdellovibrio",-0.423285343901306
"7","g__Saccharimonadales",-0.200690223529409
"8","g__0319.6G20",-0.109476102588393
"9","g__uncultured",-0.0963512250523327
"10","g__Oligoflexus",0.00511391837370886
"11","g__Limnohabitans",0.262948983405228
"12","g__Acinetobacter",1.76613328233669
