otu_id,SRR3991444,SRR3991609,SRR3991531,SRR3991495,SRR3991554,SRR3991568,SRR3991477,SRR3991372,SRR3991625,SRR3991604,SRR3991441,SRR3991440,SRR3991569,SRR3991382,SRR3991507,SRR3991549,SRR3991607,SRR3991379,SRR3991369,SRR3991353,SRR3991505,SRR3991513,SRR3991534,SRR3991610,SRR3991511,SRR3991364,SRR3991510,SRR3991472,SRR3991584,SRR3991399,SRR3991517,SRR3991597,SRR3991519,SRR3991503,SRR3991398,SRR3991350,SRR3991613,SRR3991526,SRR3991425,SRR3991493,SRR3991479,SRR3991605,SRR3991508,SRR3991465,SRR3991481,SRR3991608,SRR3991588,SRR3991524,SRR3991491,SRR3991419,SRR3991368,SRR3991427,SRR3991352,SRR3991563,SRR3991548,SRR3991583,SRR3991429,SRR3991552,SRR3991387,SRR3991571,SRR3991376,SRR3991367,SRR3991530,SRR3991394,SRR3991335,SRR3991593,SRR3991351,SRR3991453,SRR3991334,SRR3991606,SRR3991386,SRR3991473,SRR3991603,SRR3991590,SRR3991595,SRR3991591,SRR3991370,SRR3991442,SRR3991561,SRR3991533,SRR3991577,SRR3991547,SRR3991343,SRR3991336,SRR3991488,SRR3991377,SRR3991544,SRR3991433,SRR3991342,SRR3991538,SRR3991521,SRR3991415,SRR3991413,SRR3991498,SRR3991555,SRR3991612,SRR3991468,SRR3991446,SRR3991438,SRR3991436,SRR3991485,SRR3991487,SRR3991546,SRR3991541,SRR3991579,SRR3991586,SRR3991402,SRR3991560,SRR3991532,SRR3991596,SRR3991366,SRR3991338,SRR3991562,SRR3991428,SRR3991383,SRR3991361,SRR3991408,SRR3991620,SRR3991378,SRR3991466,SRR3991565,SRR3991602,SRR3991480,SRR3991490,SRR3991374,SRR3991558,SRR3991354,SRR3991520,SRR3991392,SRR3991528,SRR3991454,SRR3991410,SRR3991556,SRR3991500,SRR3991460,SRR3991393,SRR3991523,SRR3991611,SRR3991417,SRR3991390,SRR3991365,SRR3991497,SRR3991464,SRR3991437,SRR3991527,SRR3991407,SRR3991504,SRR3991412,SRR3991474,SRR3991360,SRR3991457,SRR3991522,SRR3991615,SRR3991574,SRR3991598,SRR3991578,SRR3991337,SRR3991575,SRR3991539,SRR3991389,SRR3991567,SRR3991471,SRR3991344,SRR3991512,SRR3991421,SRR3991380,SRR3991450,SRR3991537,SRR3991448,SRR3991358,SRR3991345,SRR3991587,SRR3991564,SRR3991469,SRR3991401,SRR3991397,SRR3991573,SRR3991420,SRR3991514,SRR3991616,SRR3991447,SRR3991405,SRR3991346,SRR3991566,SRR3991576,SRR3991614,SRR3991391,SRR3991411,SRR3991592,SRR3991347,SRR3991396,SRR3991381,SRR3991540,SRR3991431,SRR3991449,SRR3991601,SRR3991478,SRR3991418,SRR3991373,SRR3991403,SRR3991404,SRR3991406,SRR3991400,SRR3991484,SRR3991617,SRR3991426,SRR3991570,SRR3991475,SRR3991628,SRR3991516,SRR3991622,SRR3991458,SRR3991359,SRR3991627,SRR3991384,SRR3991557,SRR3991482,SRR3991434,SRR3991395,SRR3991551,SRR3991535,SRR3991624,SRR3991630,SRR3991626,SRR3991462,SRR3991509,SRR3991355,SRR3991542,SRR3991496,SRR3991621,SRR3991599,SRR3991348,SRR3991518,SRR3991501,SRR3991339,SRR3991456,SRR3991363,SRR3991553,SRR3991416,SRR3991600,SRR3991506,SRR3991357,SRR3991559,SRR3991341,SRR3991486,SRR3991483,SRR3991629,SRR3991581,SRR3991619,SRR3991409,SRR3991349,SRR3991489,SRR3991430,SRR3991550,SRR3991585,SRR3991362,SRR3991439,SRR3991452,SRR3991545,SRR3991432,SRR3991580,SRR3991515,SRR3991589,SRR3991529,SRR3991445,SRR3991492,SRR3991423,SRR3991572,SRR3991461,SRR3991470,SRR3991618,SRR3991371,SRR3991333,SRR3991476,SRR3991455,SRR3991385,SRR3991623,SRR3991494,SRR3991502,SRR3991543,SRR3991594,SRR3991499,SRR3991582,taxonomy
f9e6e13db5e9e17c5ec67373a3304d57,6,0,1,13,0,11,6,8,5,6,24,14,7,0,4,10,3,0,7,0,2,7,6,3,6,2,2,26,0,23,5,0,4,0,0,9,0,3,0,0,0,3,0,0,12,5,5,19,7,0,0,0,8,9,4,1,0,17,2,3,20,0,1,7,0,3,0,77,38,4,24,9,18,0,4,0,0,0,3,17,0,6,26,0,14,0,0,0,2,2,0,0,0,2,1,6,3,32,25,0,5,16,4,0,5,9,2,4,11,0,2,0,0,0,16,7,15,9,7,7,9,12,8,11,0,20,10,2,31,4,0,11,19,5,73,0,7,0,9,8,5,3,0,0,0,0,1,12,0,8,0,6,3,0,7,3,7,0,1,11,34,0,20,0,0,11,71,9,44,1,6,2,0,28,0,16,10,1,0,9,12,2,6,5,0,12,5,9,0,2,6,4,0,0,0,11,2,5,0,0,5,0,11,8,5,11,5,10,1,20,3,48,3,11,66,0,0,0,3,5,0,6,13,10,0,0,22,0,0,0,7,2,0,0,0,8,7,0,0,18,8,38,5,5,0,11,7,5,4,0,0,0,5,0,3,0,0,0,19,1,0,1,9,12,47,1,0,6,28,12,2,0,0,3,2,3,3,15,0,0,3,3,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
e9a7d81ea11a1e900e5852db9d690582,4,3,0,19,0,13,6,14,16,7,19,7,3,0,2,17,6,0,13,0,0,9,11,2,9,8,2,12,0,32,4,0,2,0,6,11,0,2,0,0,2,21,0,0,13,6,5,22,14,0,0,0,5,13,3,0,0,15,0,5,29,0,0,12,0,7,0,44,38,7,21,5,27,0,13,0,2,1,9,26,0,11,34,0,28,0,0,0,11,4,0,0,0,3,2,20,0,27,17,0,0,22,6,0,4,5,0,8,4,0,7,0,0,0,11,6,13,12,23,12,17,2,5,22,0,23,3,3,31,8,2,15,20,2,38,0,9,4,19,16,9,2,0,0,0,21,1,15,0,12,0,5,6,0,11,7,0,0,8,16,47,0,28,5,0,16,51,14,39,1,15,14,4,21,0,19,7,9,0,11,4,2,17,12,0,7,11,5,0,7,12,5,0,2,0,15,4,13,0,0,6,0,16,9,0,14,3,5,4,27,7,33,3,14,83,6,0,0,17,13,0,14,0,5,0,3,27,0,0,0,10,1,0,1,5,6,4,0,0,27,8,36,6,17,2,21,11,2,6,2,0,0,4,0,5,0,4,0,14,6,1,2,13,14,27,7,0,3,22,17,2,0,0,1,2,6,2,18,0,0,2,4,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
869e4cf876405023c3e4436d89547ddf,3,1,0,3,0,0,13,28,0,0,0,25,4,6,0,14,1,0,0,0,0,9,19,9,2,0,0,0,19,10,12,0,0,0,3,0,0,0,0,5,0,5,5,19,0,15,0,16,0,0,19,0,9,6,20,48,0,4,0,2,0,0,0,27,0,1,0,0,24,27,0,2,0,5,0,0,7,31,12,10,0,3,9,0,0,0,0,0,29,9,0,15,0,4,14,6,0,10,0,0,0,0,1,0,0,8,4,0,0,0,11,0,4,0,2,6,0,12,0,0,0,22,3,0,0,7,23,0,9,12,7,5,1,1,11,0,0,0,15,8,0,0,2,0,0,14,19,0,0,11,0,0,0,8,0,0,0,18,1,0,0,16,18,0,0,26,28,7,0,0,0,0,0,0,2,0,5,0,0,0,0,0,6,0,3,0,6,18,0,0,20,0,18,0,0,0,1,0,0,7,5,3,0,0,2,1,0,0,3,0,0,26,0,9,22,0,7,0,0,0,0,39,21,0,0,0,26,0,2,0,0,4,0,2,16,2,0,0,0,0,0,12,3,2,3,26,3,28,4,0,0,0,1,0,0,3,5,0,6,4,0,40,11,16,18,14,2,3,32,35,0,8,0,4,0,1,8,1,3,23,0,0,6,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
fac6f5c44c33a2c00a40c646fb20ce80,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,13,0,24,0,0,0,6,34,0,0,0,0,0,0,0,0,7,28,0,0,0,15,0,45,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,36,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,2,7,0,0,0,3,0,3,4,0,0,3,0,0,0,0,25,1,0,0,9,5,0,0,0,0,0,0,0,60,0,59,0,3,0,0,56,15,0,0,8,0,1,10,14,7,14,0,0,0,0,0,0,0,0,6,8,6,0,0,17,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,2,0,0,0,0,0,0,11,6,50,0,0,27,3,4,11,0,0,0,0,6,0,0,0,4,0,0,0,15,0,0,0,12,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,45,0,0,4,0,5,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
13200de5d753dd6a61efd16894024af9,3,0,4,0,16,13,12,0,11,2,0,0,0,59,4,86,551,0,0,18,64,56,8,0,9,32,2,41,3,107,0,3,70,0,12,4,17,0,0,23,6,21,14,12,10,0,0,11,0,1,13,0,25,15,61,4,0,71,0,9,4,4,0,22,72,1,35,0,34,26,0,0,25,30,87,13,9,1,3,2,0,32,2,13,6,0,200,0,26,0,46,30,0,10,74,12,23,18,6,0,9,14,43,14,0,7,6,0,0,0,0,367,0,1,0,3,11,0,426,8,0,5,8,9,0,69,13,0,11,8,17,20,68,23,18,7,7,4,36,13,0,10,21,30,0,34,39,1,0,7,88,0,36,0,0,0,3,50,0,12,2,4,21,26,0,12,0,0,24,71,44,3,6,26,26,6,5,94,0,15,16,27,10,3,10,5,10,1,0,0,0,1,39,0,0,3,13,11,0,0,35,0,0,14,5,2,31,0,4,11,28,6,7,9,0,37,11,10,6,0,0,0,17,0,0,28,8,0,0,0,7,1,0,4,130,127,11,54,12,15,9,11,10,17,0,0,37,0,9,3,0,6,254,64,0,23,22,0,23,24,4,0,0,7,52,23,2,0,12,5,22,13,0,1,5,6,4,9,15,50,0,0,5,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
f406a6eb972b5ebb29c2d5dc65144c14,3,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,8,0,22,0,0,0,0,56,0,0,0,0,0,0,0,0,3,26,0,0,0,15,0,55,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,7,0,0,24,0,0,3,4,0,0,15,2,0,0,0,0,10,0,1,0,1,0,0,0,1,0,0,13,0,0,0,11,0,3,1,0,1,1,0,0,0,0,35,12,0,0,17,1,1,0,0,0,1,0,0,79,0,58,0,0,0,0,33,7,0,0,11,0,3,9,7,12,21,0,0,0,0,0,0,3,0,0,5,7,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,5,36,0,0,29,4,4,5,0,0,1,0,14,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,4,30,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
81b543b9b229a7867658d6daff0bb3ba,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella
cf4a26e422e83137c0b423c9db28c2e9,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,3,1,0,0,9,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,14,0,9,0,10,3,0,0,1,32,0,0,0,0,0,0,0,0,6,24,0,0,0,16,0,27,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,24,0,0,0,2,0,0,14,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,6,7,0,0,0,3,0,7,0,0,0,0,0,0,0,0,21,5,0,0,26,4,2,0,0,0,2,0,0,72,0,53,0,5,0,0,53,8,0,0,12,0,0,11,2,3,23,0,0,0,0,2,0,0,0,1,3,3,0,0,7,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,4,4,20,0,0,12,1,1,5,0,0,3,0,7,0,0,0,7,0,0,0,10,0,0,0,18,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,5,25,0,0,1,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
3fdad51874313d18c853941e63c26b99,2,5,3,16,0,10,8,12,8,6,17,7,6,0,4,17,15,0,2,0,3,8,4,3,8,8,5,23,1,38,7,0,5,0,1,12,0,5,0,0,2,10,0,0,11,7,5,12,17,0,0,0,10,12,8,1,0,23,0,1,18,0,0,12,0,7,0,73,53,10,22,9,16,0,3,0,3,0,11,14,0,13,44,0,33,0,0,0,10,7,0,0,0,3,2,11,3,33,28,0,1,23,16,0,3,10,0,8,6,0,7,0,0,0,15,7,12,16,22,13,24,14,1,21,0,36,1,5,39,3,0,5,24,3,63,0,9,8,7,7,5,3,0,29,0,0,5,16,1,7,0,4,5,5,23,12,4,0,9,17,28,0,25,5,0,16,48,11,29,6,24,10,2,27,0,19,18,0,0,8,0,4,11,19,0,10,7,10,0,7,3,11,2,2,0,6,3,10,0,0,3,0,12,17,2,10,9,7,5,32,3,38,9,14,114,0,0,0,0,15,0,7,0,9,0,0,19,0,0,3,8,3,0,0,0,2,8,0,0,19,17,29,5,13,0,23,6,0,6,0,0,0,4,0,4,0,3,0,10,4,1,7,9,15,44,3,4,4,26,5,0,0,0,0,4,11,4,10,0,0,1,9,0,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
a478546426ffb25c916f1917cead2ec1,2,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae
